location_id,countryID,longitude,latitude,locationName,isMobile,isMonitor,provider,sensorID,instruments,sensorParameterID,firstUpdated,lastUpdated
225816,ZA,18.57871,-33.86574,Plattekloof,False,True,South Africa,"7736769, 1304775, 7736768, 1304776, 5079606, 5080153",Government Monitor,"35, 7, 19840, 10, 1, 2",2021-04-30T06:00:00Z,2024-02-28T10:00:00Z
225817,ZA,18.42517,-33.91383,Foreshore-NAQI,False,True,South Africa,"4276115, 4275940, 1304773, 1304777, 1304774",Government Monitor,"35, 19840, 1, 2, 9",2021-04-30T06:00:00Z,2024-02-02T12:00:00Z
225829,ZA,26.84666,-26.85471,Khuma,False,True,South Africa,"4275746, 1304839, 4275950, 3639932, 3639931, 1304841",Government Monitor,"35, 7, 19840, 1, 2, 9",2021-04-30T07:00:00Z,2024-03-12T10:00:00Z
225890,ZA,25.59766,-33.81107,Motherwell Day Hospital,False,True,South Africa,"1305050, 1305049, 1305048, 1315824, 1305047",Government Monitor,"8, 7, 10, 1, 9",2021-05-01T04:00:00Z,2022-02-08T23:00:00Z
225891,ZA,18.65356,-34.01558,Khayelitsha CoCT-NAQI,False,True,South Africa,"5977930, 5977915, 5977923, 1305051, 1305052, 5977920",Government Monitor,"35, 7, 19840, 1, 2, 9",2021-05-01T08:00:00Z,2022-12-21T06:00:00Z
226049,ZA,18.98944,-33.69528,Paarl,False,True,South Africa,"4276032, 1305739, 4275892, 3785715, 1305738",Government Monitor,"35, 7, 19840, 10, 9",2021-05-04T16:00:00Z,2024-03-12T10:00:00Z
226050,ZA,30.87657,-29.79865,New Germany,False,True,South Africa,"1305741, 1305737, 1305740",Government Monitor,"1, 2, 9",2021-05-04T16:00:00Z,2024-03-12T11:00:00Z
226073,ZA,18.85724,-33.92776,Stellenboch,False,True,South Africa,"6956129, 1305850, 6956131, 1321665, 1305847, 1305848, 1305849",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-05-05T08:00:00Z,2024-03-09T19:00:00Z
226269,ZA,25.41731,-33.76378,Uitenhage,False,True,South Africa,"1306839, 1306837, 1306840, 1306838",Government Monitor,"8, 7, 10, 9",2021-05-10T14:00:00Z,2022-03-02T07:00:00Z
226310,ZA,25.61453,-25.83581,Mafikeng-NAQI,False,True,South Africa,"1663290, 4275674, 1312861, 4275954, 1663289, 1307032, 1307031, 1307033",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-05-11T13:00:00Z,2024-03-12T10:00:00Z
226316,ZA,28.3366,-25.71657,Mamelodi,False,True,South Africa,"1307049, 1307050, 1307051, 1307053, 3866447, 1307052",Government Monitor,"8, 7, 10, 1, 2, 9",2021-05-11T13:00:00Z,2023-04-18T05:00:00Z
226588,ZA,18.66965,-34.03814,Khayelitsha - WC Province,False,True,South Africa,"1308496, 4275706, 1308495, 4275781, 1328987, 1308533, 1308494",Government Monitor,"8, 35, 7, 19840, 10, 1, 9",2021-05-17T17:00:00Z,2024-03-12T10:00:00Z
227385,ZA,18.72578,-33.85719,Wallacedene-NAQI,False,True,South Africa,"5079607, 1702302, 5079608, 1926009, 1311829, 2085679, 1311820",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-06-02T17:00:00Z,2023-06-12T09:00:00Z
228956,ZA,27.14837,-25.58053,Phokeng,False,True,South Africa,"8443957, 2009562, 8443956, 2088959, 2088960, 1319163",Government Monitor,"35, 7, 19840, 1, 2, 9",2021-07-03T14:00:00Z,2024-03-12T10:00:00Z
229039,ZA,28.416,-26.27036,Springs-NAQI,False,True,South Africa,"2021823, 4275815, 1319492, 4276133, 1319493, 1319490, 1319491",Government Monitor,"8, 35, 7, 19840, 1, 2, 9",2021-07-05T09:00:00Z,2024-03-12T11:00:00Z
